2025-03-31T21:44:48.977010Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 255, leaf_nodes: 1, hashed_cursor_seek_count: 40, hashed_cursor_advance_count: 1, walker_advance_count: 256 }
2025-03-31T21:44:48.977403Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 256, leaf_nodes: 0, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 0, walker_advance_count: 256 }
2025-03-31T21:44:48.977728Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 142, leaf_nodes: 69, hashed_cursor_seek_count: 207, hashed_cursor_advance_count: 69, walker_advance_count: 210 }
2025-03-31T21:44:48.977809Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 13, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 13, walker_advance_count: 1 }
2025-03-31T21:44:48.978095Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 256, leaf_nodes: 0, hashed_cursor_seek_count: 8, hashed_cursor_advance_count: 0, walker_advance_count: 256 }
2025-03-31T21:44:48.978181Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 16, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 16, walker_advance_count: 1 }
2025-03-31T21:44:48.978438Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 11, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 11, walker_advance_count: 1 }
2025-03-31T21:44:48.978599Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 10, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 10, walker_advance_count: 1 }
2025-03-31T21:44:48.979687Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 758, leaf_nodes: 63, hashed_cursor_seek_count: 158, hashed_cursor_advance_count: 63, walker_advance_count: 855 }
2025-03-31T21:44:48.979831Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 1, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 1, walker_advance_count: 1 }
2025-03-31T21:44:48.980310Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 331, leaf_nodes: 46, hashed_cursor_seek_count: 107, hashed_cursor_advance_count: 46, walker_advance_count: 368 }
2025-03-31T21:44:48.980572Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 298, leaf_nodes: 4, hashed_cursor_seek_count: 18, hashed_cursor_advance_count: 4, walker_advance_count: 302 }
2025-03-31T21:44:48.981303Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 450, leaf_nodes: 22, hashed_cursor_seek_count: 63, hashed_cursor_advance_count: 22, walker_advance_count: 483 }
2025-03-31T21:44:48.981649Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 299, leaf_nodes: 3, hashed_cursor_seek_count: 18, hashed_cursor_advance_count: 3, walker_advance_count: 303 }
2025-03-31T21:44:48.982104Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 256, leaf_nodes: 0, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 0, walker_advance_count: 256 }
2025-03-31T21:44:48.982599Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 313, leaf_nodes: 7, hashed_cursor_seek_count: 35, hashed_cursor_advance_count: 7, walker_advance_count: 323 }
2025-03-31T21:44:48.982904Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 2, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 2, walker_advance_count: 1 }
2025-03-31T21:44:48.983567Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 578, leaf_nodes: 41, hashed_cursor_seek_count: 105, hashed_cursor_advance_count: 41, walker_advance_count: 637 }
2025-03-31T21:44:48.984071Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 347, leaf_nodes: 13, hashed_cursor_seek_count: 34, hashed_cursor_advance_count: 13, walker_advance_count: 362 }
2025-03-31T21:44:48.984527Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 241, leaf_nodes: 21, hashed_cursor_seek_count: 161, hashed_cursor_advance_count: 21, walker_advance_count: 260 }
2025-03-31T21:44:48.984671Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 12, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 12, walker_advance_count: 1 }
2025-03-31T21:44:48.984820Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 2, leaf_nodes: 17, hashed_cursor_seek_count: 5, hashed_cursor_advance_count: 17, walker_advance_count: 5 }
2025-03-31T21:44:48.985464Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 516, leaf_nodes: 33, hashed_cursor_seek_count: 90, hashed_cursor_advance_count: 33, walker_advance_count: 565 }
2025-03-31T21:44:48.985927Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 343, leaf_nodes: 10, hashed_cursor_seek_count: 39, hashed_cursor_advance_count: 10, walker_advance_count: 356 }
